HTS Number,Indent,Description,Unit of Quantity,General Rate of Duty,Special Rate of Duty,Column 2 Rate of Duty,Quota Quantity,Additional Duties
"4107.12.40.00","4","Buffalo","[""m<sup>2<\/sup>""]","2.5%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"","4","Other:","","","","","",""
"4107.12.50.00","5","Upholstery leather","[""m<sup>2<\/sup>""]","2.8%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","20%","",""
"4107.12.60","5","Upper leather; sole leather","","3.3%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"4107.12.60.10","6","Upper leather","[""m<sup>2<\/sup>""]","","","","",""
"4107.12.60.60","6","Sole leather","[""m<sup>2<\/sup>""]","","","","",""
"","5","Other:","","","","","",""
"4107.12.70","6","Not fancy","","5%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"4107.12.70.30","7","Belting","[""m<sup>2<\/sup>""]","","","","",""
"4107.12.70.40","7","Glove and garment","[""m<sup>2<\/sup>""]","","","","",""
"4107.12.70.50","7","Bag, case, strap and collar","[""m<sup>2<\/sup>""]","","","","",""
"4107.12.70.90","7","Other","[""m<sup>2<\/sup>""]","","","","",""
"4107.12.80.00","6","Fancy","[""m<sup>2<\/sup>""]","2.4%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","30%","",""
"4107.19","2","Other:","","","","","",""
"","3","Of bovines, and of a unit surface area not exceeding 28 square feet (2.6 m<sup>2</sup>):","","","","","",""
"4107.19.10","4","Upper leather; lining leather","","Free","","15%","",""
"4107.19.10.20","5","Upper leather","[""m<sup>2<\/sup>""]","","","","",""
"4107.19.10.40","5","Lining leather","[""m<sup>2<\/sup>""]","","","","",""
"","4","Other:","","","","","",""
"4107.19.20.00","5","Not fancy","[""m<sup>2<\/sup>""]","2.4%","Free (A+,AU,BH,CL,CO,D,E,IL, JO,KR,MA, OM,P,PA,PE,S,SG)","15%","",""
"4107.19.30.00","5","Fancy","[""m<sup>2<\/sup>""]","3.6%","Free (A+,AU,BH,CL,CO,D,E,IL, JO,KR,MA, OM,P,PA,PE,S,SG)","30%","",""
"","3","Other:","","","","","",""
"4107.19.40.00","4","Buffalo","[""m<sup>2<\/sup>""]","2.5%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"","4","Other:","","","","","",""
"4107.19.50.00","5","Upholstery leather","[""m<sup>2<\/sup>""]","2.8%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","20%","",""
"4107.19.60","5","Upper leather; sole leather","","5%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"4107.19.60.10","6","Upper leather","[""m<sup>2<\/sup>""]","","","","",""
"4107.19.60.50","6","Sole leather","[""m<sup>2<\/sup>"",""kg""]","","","","",""
"","5","Other:","","","","","",""
"4107.19.70","6","Not fancy","","5%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"4107.19.70.30","7","Belting","[""m<sup>2<\/sup>""]","","","","",""
"4107.19.70.40","7","Glove and garment","[""m<sup>2<\/sup>""]","","","","",""
"4107.19.70.50","7","Bag, case, strap and collar","[""m<sup>2<\/sup>""]","","","","",""
"4107.19.70.90","7","Other","[""m<sup>2<\/sup>""]","","","","",""
"4107.19.80.00","6","Fancy","[""m<sup>2<\/sup>""]","2.4%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","30%","",""
"","1","Other, including sides:","","","","","",""
"4107.91","2","Full grains, unsplit:","","","","","",""
"4107.91.40.00","3","Buffalo","[""m<sup>2<\/sup>""]","2.5%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"","3","Other:","","","","","",""
"4107.91.50.00","4","Upholstery leather","[""m<sup>2<\/sup>""]","2.8%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","20%","",""
"4107.91.60","4","Upper leather; sole leather","","3.3%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"4107.91.60.10","5","Upper leather","[""m<sup>2<\/sup>""]","","","","",""
"4107.91.60.50","5","Sole leather","[""m<sup>2<\/sup>""]","","","","",""
"","4","Other:","","","","","",""
"4107.91.70","5","Not fancy","","5%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"4107.91.70.30","6","Belting","[""m<sup>2<\/sup>""]","","","","",""
"4107.91.70.40","6","Glove and garment","[""m<sup>2<\/sup>""]","","","","",""
"4107.91.70.50","6","Bag, case, strap and collar","[""m<sup>2<\/sup>""]","","","","",""
"4107.91.70.90","6","Other","[""m<sup>2<\/sup>""]","","","","",""
"4107.91.80.00","5","Fancy","[""m<sup>2<\/sup>""]","2.4%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","30%","",""
"4107.92","2","Grain splits:","","","","","",""
"4107.92.40.00","3","Buffalo","[""m<sup>2<\/sup>""]","2.5%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"","3","Other:","","","","","",""
"4107.92.50.00","4","Upholstery leather","[""m<sup>2<\/sup>""]","2.8%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","20%","",""
"4107.92.60","4","Upper leather; sole leather","","3.3%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"4107.92.60.10","5","Upper leather","[""m<sup>2<\/sup>""]","","","","",""
"4107.92.60.50","5","Sole leather","[""m<sup>2<\/sup>""]","","","","",""
"","4","Other:","","","","","",""
"4107.92.70","5","Not fancy","","5%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"4107.92.70.30","6","Belting","[""m<sup>2<\/sup>""]","","","","",""
"4107.92.70.40","6","Glove and garment","[""m<sup>2<\/sup>""]","","","","",""
"4107.92.70.50","6","Bag, case, strap and collar","[""m<sup>2<\/sup>""]","","","","",""
"4107.92.70.90","6","Other","[""m<sup>2<\/sup>""]","","","","",""
"4107.92.80.00","5","Fancy","[""m<sup>2<\/sup>""]","2.4%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","30%","",""
"4107.99","2","Other:","","","","","",""
"4107.99.40.00","3","Buffalo","[""m<sup>2<\/sup>""]","2.5%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"","3","Other:","","","","","",""
